data_id,schema_pass,commonsense_pass,hard_pass,all_pass,failure_count,failure_categories,selected_labels,top_labels,text
20250323005705150367,True,True,True,True,0,,budget_kinds:innercity_transport,budget_kinds:innercity_transport:0.954|room_type:2:0.271|budget_kinds:intercity_transport:0.164|day_count:3:0.082|room_type:1:0.030|people_count:4:0.030|ticket_count:4:0.030|day_count:4:0.017|people_count:2:0.017|day_count:2:0.015|ticket_count:2:0.014|people_count:3:0.014,"We are 2 people, departing from Suzhou to Shanghai for a 3-day trip. Requirements: satisfy any one of the following: 1. Budget for intra-city travel is 50.0 2. Prefer to take a train to the destination and return by train."
20250322041029588242,True,True,False,False,1,attraction_name,people_count:1|ticket_count:1|must_visit:zhongshan_park|day_count:3,people_count:1:0.993|ticket_count:1:0.992|must_visit:zhongshan_park:0.904|day_count:3:0.714|day_count:2:0.653|budget_kinds:innercity_transport:0.493|forbidden_intercity_transport:train:0.201|attraction_types:park:0.097|ticket_count:3:0.060|must_visit:shanghai_zoo:0.053|people_count:3:0.041|forbidden_restaurant_names:shenzhen_penghui_raffles_hotel__cloud_view:0.037,One person traveling from Beijing to Shenzhen for 3 days. Wish to visit Zhongshan Park. Do not want to use walking or taxi for intra-city transportation.
20250320233037024077,True,True,True,True,0,,people_count:1|ticket_count:1|day_count:2,people_count:1:0.976|ticket_count:1:0.975|day_count:2:0.892|day_count:3:0.387|ticket_count:3:0.077|forbidden_intercity_transport:train:0.062|people_count:3:0.062|room_type:1:0.038|forbidden_pois:shenzhen_bay_park:0.036|budget_kinds:innercity_transport:0.031|must_visit:zhongshan_park:0.030|restaurant_types:japanese_cuisine:0.021,"1 person, departing from Beijing to Shenzhen for 2 days, with the following requirement: do not want to stay at Mercure Shenzhen Nanshan Shenzhen Bay."
20250323110221959432,True,True,True,True,0,,hotel_distance|people_count:4|ticket_count:4|day_count:4,hotel_distance:0.994|people_count:4:0.980|ticket_count:4:0.977|day_count:4:0.969|day_count:3:0.116|people_count:5:0.085|room_type:2:0.084|ticket_count:5:0.080|ticket_count:3:0.072|people_count:3:0.062|day_count:5:0.044|room_type:1:0.034,We are 4 people traveling from Chongqing to Nanjing for 4 days. Requirements: Accommodation should be within 7.13 kilometers of the Confucius Temple and Qinhuai River Scenic Area.
20250322133703057216,True,True,True,True,0,,attraction_types:commercial_district,attraction_types:commercial_district:0.958|forbidden_attraction_types:commercial_district:0.184|attraction_types:cultural_landscape:0.130|day_count:4:0.113|budget_kinds:innercity_transport:0.098|people_count:4:0.090|ticket_count:4:0.088|attraction_types:museum/memorial_hall:0.087|attraction_types:park:0.068|hotel_features:swimming_pool:0.059|activity_time_window:0.041|attraction_types:historical_site:0.040,"We are a group of 4, departing from Suzhou, traveling to Hangzhou for 4 days. The trip should satisfy at least one of the following: 1. Visit Zhejiang Science and Technology Museum 2. Visit a commercial district."
20250322124927333956,True,True,True,True,0,,attraction_types:amusement_park/sports_entertainment|budget_kinds:innercity_transport,attraction_types:amusement_park/sports_entertainment:0.823|budget_kinds:innercity_transport:0.659|people_count:1:0.461|ticket_count:1:0.437|day_count:3:0.127|day_count:2:0.117|budget_kinds:dining:0.090|attraction_types:park:0.087|forbidden_attraction_types:natural_scenery:0.069|ticket_count:3:0.047|people_count:3:0.045|forbidden_attraction_types:amusement_park/sports_entertainment:0.043,"We are 1 person, departing from Beijing, traveling to Shenzhen for 3 days. Requirement: satisfy any one of the following: 1. Do not want to visit Amusement Park/Sports Entertainment 2. Total travel budget is 5000.0"
20250322121924375133,True,True,True,True,0,,budget_kinds:dining,budget_kinds:dining:0.942|budget_kinds:accommodation:0.237|budget_kinds:intercity_transport:0.138|day_count:3:0.035|forbidden_restaurant_names:chao_shang_chao_zhengda_branch:0.030|room_type:2:0.023|hotel_features:sauna:0.020|hotel_distance:0.018|budget_kinds:innercity_transport:0.018|forbidden_restaurant_names:hidden_world_courtyard__banquet_wedding_birthday_monster_drinking_shop:0.017|room_type:1:0.017|budget_kinds:attraction:0.015,"We are a group of 4, departing from Shenzhen to Shanghai for a 3-day trip, and we need to meet at least one of the following: 1. A sightseeing budget of 1000.0 2. A dining budget of 5400.0"
20250322101529129061,True,True,False,False,1,attraction_name,people_count:1|ticket_count:1|budget_kinds:intercity_transport|day_count:3,people_count:1:0.996|ticket_count:1:0.996|budget_kinds:intercity_transport:0.995|day_count:3:0.967|day_count:2:0.196|budget_kinds:innercity_transport:0.053|room_type:2:0.042|budget_kinds:dining:0.033|people_count:4:0.029|ticket_count:4:0.022|room_type:1:0.016|budget_kinds:attraction:0.011,"We are 1 person, departing from Suzhou, traveling to Chongqing for 3 days, with the following requirements: Hope to visit Exploration Capsule: Cloudtop Playland. The budget for intercity transportation is 1700.0."
20250323102914854881,True,True,True,True,0,,forbidden_restaurant_names:yangzhou_banquet_beijing_branch|forbidden_restaurant_names:chao_shang_chao_zhengda_branch|hotel_distance,forbidden_restaurant_names:yangzhou_banquet_beijing_branch:0.999|forbidden_restaurant_names:chao_shang_chao_zhengda_branch:0.999|hotel_distance:0.994|forbidden_restaurant_names:hidden_world_courtyard__banquet_wedding_birthday_monster_drinking_shop:0.307|budget_kinds:dining:0.056|budget_kinds:innercity_transport:0.033|forbidden_restaurant_names:osmanthus_garden_manjuelong_branch:0.015|forbidden_restaurant_names:shenzhen_penghui_raffles_hotel__cloud_view:0.012|forbidden_pois:dingling_mausoleum:0.011|forbidden_restaurant_types:snacks:0.009|hotel_features:sauna:0.006|hotel_features:charging_station:0.005,"We are a group of 5, departing from Nanjing to Beijing for a 2-day trip, and must meet at least one of the following conditions:
1. Prefer not to dine at the following restaurants: Yangzhou Banquet (Beijing Branch) and Chao Shang Chao (Zhengda Branch)
2. Accommodation should be within 4.18 km of Divine Music Office"
20250322002943090144,True,True,False,False,1,attraction_name,people_count:4|ticket_count:4|hotel_features:sunbathing_area|day_count:3,people_count:4:0.990|ticket_count:4:0.987|hotel_features:sunbathing_area:0.956|day_count:3:0.918|day_count:2:0.070|must_visit:powerlong_museum:0.068|must_visit:shanghai_expo_park:0.064|must_visit:shanghai_zoo:0.054|day_count:4:0.051|hotel_features:sauna:0.045|room_type:1:0.044|day_count:5:0.038,"We are a group of 4, departing from Shenzhen to Shanghai for a 3-day trip, with the following requirements:  
We want to visit Lujiazui, Fly Over Shanghai (No. 1 Department Store), and Changle Road.  
We do not want to stay in hotels that have a Sunbathing area."
